date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:45	290/290	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2011:04:44%20GMT	http://www.good-buckle.com/robots.txt		(from )
19:04:46	165029/165029	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2011:04:45%20GMT	http://www.good-buckle.com/	/Users/longhui/Desktop/myweb/www.good-buckle.com/index.html	(from )
19:04:46	408/408	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2011:04:46%20GMT	http://www.good-buckle.com/captcha.c	/Users/longhui/Desktop/myweb/www.good-buckle.com/captcha.html	(from http://www.good-buckle.com/)
19:04:47	408/408	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2011:04:47%20GMT	http://www.good-buckle.com/index.html	/Users/longhui/Desktop/myweb/www.good-buckle.com/index-2.html	(from http://www.good-buckle.com/)
19:04:48	102465/102465	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2011:04:48%20GMT	http://www.good-buckle.com/aboutus.html	/Users/longhui/Desktop/myweb/www.good-buckle.com/aboutus.html	(from http://www.good-buckle.com/)
19:04:50	106709/106709	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2011:04:49%20GMT	http://www.good-buckle.com/canguanfengongsi.html	/Users/longhui/Desktop/myweb/www.good-buckle.com/canguanfengongsi.html	(from http://www.good-buckle.com/)
19:04:51	106721/106721	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2011:04:50%20GMT	http://www.good-buckle.com/canguangongchang.html	/Users/longhui/Desktop/myweb/www.good-buckle.com/canguangongchang.html	(from http://www.good-buckle.com/)
19:04:52	108218/108218	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2011:04:51%20GMT	http://www.good-buckle.com/maoyifu.html	/Users/longhui/Desktop/myweb/www.good-buckle.com/maoyifu.html	(from http://www.good-buckle.com/)
19:04:53	108225/108225	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2011:04:52%20GMT	http://www.good-buckle.com/jingyingguanli.html	/Users/longhui/Desktop/myweb/www.good-buckle.com/jingyingguanli.html	(from http://www.good-buckle.com/)
19:04:54	108227/108227	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2011:04:53%20GMT	http://www.good-buckle.com/jiandingrenzheng.html	/Users/longhui/Desktop/myweb/www.good-buckle.com/jiandingrenzheng.html	(from http://www.good-buckle.com/)
19:04:55	108230/108230	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2011:04:54%20GMT	http://www.good-buckle.com/yanjiuyukaifa.html	/Users/longhui/Desktop/myweb/www.good-buckle.com/yanjiuyukaifa.html	(from http://www.good-buckle.com/)
19:04:56	108224/108224	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2011:04:55%20GMT	http://www.good-buckle.com/pinzhiguanli.html	/Users/longhui/Desktop/myweb/www.good-buckle.com/pinzhiguanli.html	(from http://www.good-buckle.com/)
